trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1540020,05:57:00,05:57:00,312,1,"",0,0,0.00,1
1540020,05:57:51,05:57:51,316,2,"",0,0,393.77,0
1540020,05:58:27,05:58:27,1013,3,"",0,0,651.94,0
1540020,05:58:52,05:58:52,1380,4,"",0,0,814.89,0
1540020,05:59:31,05:59:31,883,5,"",0,0,1107.46,0
225020,06:00:00,06:00:00,115,1,"",0,0,0.00,1
498020,06:00:00,06:00:00,1338,1,"",0,0,0.00,1
740020,06:00:00,06:00:00,108,1,"",0,0,0.00,1
2585020,06:00:00,06:00:00,101,1,"",0,0,0.00,1
2635020,06:00:00,06:00:00,1103,1,"",0,0,0.00,1
1540020,06:00:20,06:00:20,884,6,"",0,0,1453.45,0
2635020,06:00:28,06:00:28,1116,2,"",0,0,182.01,0
498020,06:00:36,06:00:36,510,2,"",0,0,236.01,0
2585020,06:00:38,06:00:38,510,2,"",0,0,247.93,0
1540020,06:00:41,06:00:41,885,7,"",0,0,1620.43,0
225020,06:00:55,06:00:55,86,2,"",0,0,366.56,0
740020,06:01:12,06:01:12,169,2,"",0,0,463.39,0
2585020,06:01:18,06:01:18,511,3,"",0,0,586.53,0
2635020,06:01:26,06:01:26,1117,3,"",0,0,581.99,0
1540020,06:01:35,06:01:35,886,8,"",0,0,2019.09,0
498020,06:01:46,06:01:46,551,3,"",0,0,702.49,0
2585020,06:01:49,06:01:49,117,4,"",0,0,812.66,0
1540020,06:02:00,06:02:00,133,9,"",0,0,2202.38,1
740020,06:02:14,06:02:14,155,3,"",0,0,905.84,0
2635020,06:02:33,06:02:33,1118,4,"",0,0,1062.63,0
1540020,06:02:40,06:02:40,887,10,"",0,0,2372.83,0
740020,06:03:00,06:03:00,148,4,"",0,0,1236.86,1
498020,06:03:00,06:03:00,512,4,"",0,0,1027.07,1
2635020,06:03:00,06:03:00,1107,5,"",0,0,1347.15,1
740020,06:03:41,06:03:41,196,5,"",0,0,1597.04,0
2585020,06:03:46,06:03:46,104,5,"",0,0,1829.42,0
225020,06:03:47,06:03:47,28,3,"",0,0,1403.91,0
1540020,06:03:51,06:03:51,888,11,"",0,0,2674.36,0
498020,06:04:12,06:04:12,76,5,"",0,0,1460.20,0
740020,06:04:15,06:04:15,149,6,"",0,0,1882.69,0
1540020,06:04:32,06:04:32,889,12,"",0,0,2835.16,0
2635020,06:04:36,06:04:36,1111,6,"",0,0,1827.91,0
740020,06:04:55,06:04:55,150,7,"",0,0,2239.82,0
1504020,06:05:00,06:05:00,156,1,"",0,0,0.00,1
2670020,06:05:00,06:05:00,378,1,"",0,0,0.00,1
1540020,06:05:17,06:05:17,890,13,"",0,0,3020.03,0
2585020,06:05:21,06:05:21,114,6,"",0,0,2480.98,0
498020,06:05:22,06:05:22,552,6,"",0,0,1871.24,0
1504020,06:05:27,06:05:27,157,2,"",0,0,233.88,0
740020,06:05:37,06:05:37,151,8,"",0,0,2596.29,0
2670020,06:05:43,06:05:43,92,2,"",0,0,455.43,0
225020,06:05:57,06:05:57,1183,4,"",0,0,2264.07,0
2635020,06:06:13,06:06:13,1133,7,"",0,0,2288.83,0
740020,06:06:17,06:06:17,152,9,"",0,0,2956.01,0
2585020,06:06:21,06:06:21,513,7,"",0,0,2935.82,0
2670020,06:06:32,06:06:32,93,3,"",0,0,819.81,0
498020,06:06:37,06:06:37,553,7,"",0,0,2286.28,0
1540020,06:06:42,06:06:42,891,14,"",0,0,3373.01,0
1504020,06:06:44,06:06:44,27,3,"",0,0,955.38,0
225020,06:06:45,06:06:45,207,5,"",0,0,2535.66,0
740020,06:06:46,06:06:46,153,10,"",0,0,3205.42,0
2670020,06:06:55,06:06:55,94,4,"",0,0,1012.89,0
2585020,06:07:18,06:07:18,514,8,"",0,0,3267.82,0
2670020,06:07:20,06:07:20,95,5,"",0,0,1239.06,0
1504020,06:07:21,06:07:21,158,4,"",0,0,1259.68,0
740020,06:07:24,06:07:24,1024,11,"",0,0,3546.74,0
2635020,06:07:37,06:07:37,1134,8,"",0,0,2621.71,0
498020,06:07:38,06:07:38,554,8,"",0,0,2727.64,0
2670020,06:07:46,06:07:46,762,6,"",0,0,1441.81,0
1540020,06:07:58,06:07:58,892,15,"",0,0,3660.58,0
740020,06:08:00,06:08:00,1025,12,"",0,0,3872.81,1
225020,06:08:00,06:08:00,188,6,"",0,0,3019.96,1
2635020,06:08:09,06:08:09,1127,9,"",0,0,2780.51,0
1504020,06:08:15,06:08:15,190,5,"",0,0,1765.48,0
498020,06:08:23,06:08:23,555,9,"",0,0,3065.86,0
1540020,06:08:38,06:08:38,893,16,"",0,0,3827.37,0
2585020,06:08:39,06:08:39,515,9,"",0,0,3819.86,0
2670020,06:08:41,06:08:41,763,7,"",0,0,1819.24,0
225020,06:08:41,06:08:41,8,7,"",0,0,3328.50,0
1504020,06:08:52,06:08:52,1487,6,"",0,0,2112.43,0
498020,06:08:55,06:08:55,556,10,"",0,0,3282.42,0
225020,06:09:09,06:09:09,9,8,"",0,0,3527.41,0
2670020,06:09:09,06:09:09,354,8,"",0,0,2009.58,0
1504020,06:09:19,06:09:19,1051,7,"",0,0,2368.59,0
740020,06:09:26,06:09:26,1026,13,"",0,0,4502.87,0
2585020,06:09:40,06:09:40,120,10,"",0,0,4235.20,0
225020,06:09:51,06:09:51,10,9,"",0,0,3827.62,0
2635020,06:09:52,06:09:52,726,10,"",0,0,3178.67,0
2670020,06:09:53,06:09:53,764,9,"",0,0,2388.79,0
1540020,06:10:03,06:10:03,495,17,"",0,0,4178.47,0
498020,06:10:08,06:10:08,558,11,"",0,0,3843.91,0
1504020,06:10:19,06:10:19,1052,8,"",0,0,3054.02,0
2670020,06:10:22,06:10:22,134,10,"",0,0,2657.39,0
740020,06:10:32,06:10:32,1027,14,"",0,0,4975.49,0
2585020,06:10:34,06:10:34,317,11,"",0,0,4662.18,0
2635020,06:10:50,06:10:50,727,11,"",0,0,3494.34,0
225020,06:10:54,06:10:54,11,10,"",0,0,4261.28,0
1504020,06:10:57,06:10:57,1053,9,"",0,0,3502.76,0
498020,06:11:00,06:11:00,559,12,"",0,0,4208.67,1
2670020,06:11:00,06:11:00,765,11,"",0,0,3015.46,1
