trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2363010,3,2,"Huron River to YTC",,0,901,shp-3-51,2,2
932010,65,2,"65 Green Fuller to BTC",,1,5001,shp-65-02,2,2
1811070,5,1,"5 Packard to BTC",,1,3007,shp-5-05,2,2
2585020,3,3,"Huron River to BTC",,1,702,shp-3-02,2,2
2163070,45,1,"45 Grove to YTC",,1,2607,shp-45-52,2,2
240020,3,3,"Huron River to YTC",,0,802,shp-3-51,2,2
351010,28,2,"28 Pauline to Pauline & Maple",,0,501,shp-28-11,2,2
201010,25,2,"25 Ann Arbor Saline to BTC",,1,5001,shp-25-07,2,2
2422020,62,3,"62 UM State St to CCTC",,0,4502,shp-62-06,2,1
1847070,42,1,"42 MacArthur Michigan to MacArthur & Harris",,0,2307,shp-42-03,2,2
1687010,4,2,"4 Washtenaw to YTC",,0,1801,shp-4-53,2,2
2433010,30,2,"30 Jackson Dexter to BTC",,1,601,shp-30-04,2,2
1343020,23,3,"23 PP&R to BTC",,1,1202,shp-23-05,2,1
1874020,30,3,"30 Jackon Dexter to Jackson & Wagner",,0,602,shp-30-52,2,2
949010,5,2,"5 Packard to BTC",,1,2801,shp-5-05,2,2
1216020,23,3,"23 PP&R to BTC",,1,1602,shp-23-05,2,1
1039010,30,2,"30 Jackon Dexter to Jackson & Wagner",,0,601,shp-30-52,2,2
4010,47,2,"47 Harriet Michigan to Hewistt & Ellsworth",,0,2701,shp-47-02,2,2
1360010,5,2,"5 Packard to BTC",,1,3101,shp-5-05,2,2
1406070,47,1,"47 Harriet Michigan to YTC",,1,2707,shp-47-51,2,2
1082020,25,3,"25 Ann Arbor - Saline Rd to Meijer",,0,102,shp-25-08,2,2
2020,5,3,"5 Packard to YTC",,0,2802,shp-5-55,2,2
2313020,22,3,"22 Pontiac to BTC",,1,902,shp-22-03,2,2
1560070,22,1,"22 Pontiac to BTC",,1,907,shp-22-03,2,2
746020,3,3,"Huron River to BTC",,1,1002,shp-3-02,2,2
120020,6,3,"6 Ellsworth to YTC",,0,3202,shp-6-60,2,2
1772010,22,2,"22 Pontiac to BTC",,1,801,shp-22-03,2,2
1140010,4,2,"4 Washtenaw to YTC",,0,1801,shp-4-53,2,2
2023020,47,3,"47 Harriet Michigan to Hewistt & Ellsworth",,0,2702,shp-47-02,2,2
66020,44,3,"44 Ecorse Tyler to West Willow",,0,2302,shp-44-02,2,2
1422020,65,3,"65 Green Fuller to BTC",,1,202,shp-65-02,2,2
1416070,47,1,"47 Harriet Michigan to YTC",,1,2707,shp-47-51,2,2
1260020,5,3,"5 Packard to YTC",,0,3102,shp-5-55,2,2
2480010,42,2,"42 MacArthur Michigan to YTC",,1,2301,shp-42-52,2,2
1974010,30,2,"30 Jackson Dexter to BTC",,1,601,shp-30-04,2,2
2052020,22,3,"22 Pontiac to BTC",,1,1002,shp-22-03,2,2
501010,46,2,"46 Paint Creek to Whittaker Library",,0,2601,shp-46-04,2,2
651020,62,3,"62 UM State St to Wolverine Tower",,1,4602,shp-62-52,2,1
854070,4,1,"4 Washtenaw to BTC",,1,1807,shp-4-04,2,2
734010,5,2,"5 Packard to YTC",,0,2901,shp-5-55,2,2
1630010,47,2,"47 Harriet Michigan to YTC",,1,2701,shp-47-51,2,2
1905010,26,2,"26 Scio Church to Maple & Breckenridge",,0,401,shp-26-53,2,2
884020,3,3,"Huron River to BTC",,1,1002,shp-3-02,2,2
1854020,22,3,"22 Pontiac Dhu Varren to Food Gatherers",,0,1002,shp-22-52,2,2
1225070,26,1,"26 Scio Church to Blake Transit Center",,1,407,shp-26-03,2,2
2668070,47,1,"47 Harriet Michigan to Hewistt & Ellsworth",,0,2707,shp-47-02,2,2
1411010,65,2,"65 Green-Fuller to Green Rd P&R",,0,4801,shp-65-52,2,2
2280070,6,1,"6 Ellsworth to BTC",,1,3207,shp-6-09,2,2
165070,25,1,"25 Ann Arbor Saline to BTC",,1,5007,shp-25-07,2,2
853020,3,3,"Huron River to BTC",,1,902,shp-3-02,2,2
172010,3,2,"Huron River to BTC",,1,1001,shp-3-02,2,2
190020,65,3,"65 Green-Fuller to Green Rd P&R",,0,102,shp-65-52,2,2
2069010,42,2,"42 MacArthur Michigan to MacArthur & Harris",,0,2401,shp-42-03,2,2
94020,32,3,"32 Miller to Miller Rd P&R",,0,1302,shp-32-53,2,2
429010,25,2,"25 Ann Arbor Saline to BTC",,1,4901,shp-25-07,2,2
1613020,46,3,"46 Paint Creek to Whittaker Library",,0,2602,shp-46-04,2,2
494010,26,2,"26 Scio Church to Blake Transit Center",,1,401,shp-26-03,2,2
2192020,25,3,"25 Ann Arbor Saline to BTC",,1,202,shp-25-07,2,2
533020,32,3,"32 Miller to Blake Transit Ctr",,1,1202,shp-32-05,2,2
2076020,3,3,"Huron River to BTC",,1,702,shp-3-02,2,2
2171010,22,2,"22 Pontiac Dhu Varren to Food Gatherers",,0,701,shp-22-52,2,2
2541020,4,3,"4 Washtenaw to YTC",,0,2202,shp-4-53,2,2
645020,26,3,"26 Scio Church to Blake Transit Center",,1,402,shp-26-03,2,2
21010,3,2,"Huron River to YTC",,0,801,shp-3-51,2,2
1053070,4,1,"4 Washtenaw to YTC",,0,1807,shp-4-53,2,2
376020,26,3,"26 Scio Church to Maple & Breckenridge",,0,402,shp-26-53,2,2
1165070,47,1,"47 Harriet Michigan to Hewistt & Ellsworth",,0,2707,shp-47-02,2,2
1420020,45,3,"45 Grove to Gove & Harry",,0,2602,shp-45-02,2,2
1095010,32,2,"32 Miller to Miller Rd P&R",,0,1401,shp-32-53,2,2
1272070,3,1,"Huron River to YTC",,0,807,shp-3-51,2,2
2203070,4,1,"4 Washtenaw to YTC",,0,1707,shp-4-53,2,2
569010,47,2,"47 Harriet Michigan to YTC",,1,2701,shp-47-51,2,2
309020,30,3,"30 Jackon Dexter to Jackson & Wagner",,0,602,shp-30-52,2,2
1801070,47,1,"47 Harriet Michigan to Hewistt & Ellsworth",,0,2707,shp-47-02,2,2
1569070,45,1,"45 Grove to YTC",,1,2607,shp-45-52,2,2
39020,5,3,"5 Packard to YTC",,0,3102,shp-5-55,2,2
587010,30,2,"30 Jackon Dexter to Jackson & Wagner",,0,601,shp-30-52,2,2
428020,47,3,"47 Harriet Michigan to Hewistt & Ellsworth",,0,2702,shp-47-02,2,2
2295010,25,2,"25 Ann Arbor Saline to BTC",,1,4801,shp-25-07,2,2
1554020,32,3,"32 Miller to Blake Transit Ctr",,1,1402,shp-32-05,2,2
532020,22,3,"22 Pontiac to BTC",,1,1002,shp-22-03,2,2
1488020,22,3,"22 Pontiac Dhu Varren to Food Gatherers",,0,1002,shp-22-52,2,2
401010,32,2,"32 Miller to Miller Rd P&R",,0,1101,shp-32-53,2,2
